지점,지점명,일시,기온(°C)
108,서울,2024-12-04 00:01,2.9
108,서울,2024-12-04 00:02,2.9
108,서울,2024-12-04 00:03,2.9
108,서울,2024-12-04 00:04,2.9
108,서울,2024-12-04 00:05,2.9
108,서울,2024-12-04 00:06,2.9
108,서울,2024-12-04 00:07,2.9
108,서울,2024-12-04 00:08,2.9
108,서울,2024-12-04 00:09,2.9
108,서울,2024-12-04 00:10,2.9
108,서울,2024-12-04 00:11,2.9
108,서울,2024-12-04 00:12,2.9
108,서울,2024-12-04 00:13,2.9
108,서울,2024-12-04 00:14,2.9
108,서울,2024-12-04 00:15,2.9
108,서울,2024-12-04 00:16,2.9
108,서울,2024-12-04 00:17,2.9
108,서울,2024-12-04 00:18,2.9
108,서울,2024-12-04 00:19,2.9
108,서울,2024-12-04 00:20,2.9
108,서울,2024-12-04 00:21,2.9
108,서울,2024-12-04 00:22,2.9
108,서울,2024-12-04 00:23,2.9
108,서울,2024-12-04 00:24,2.9
108,서울,2024-12-04 00:25,2.9
108,서울,2024-12-04 00:26,2.9
108,서울,2024-12-04 00:27,2.9
108,서울,2024-12-04 00:28,2.9
108,서울,2024-12-04 00:29,2.9
108,서울,2024-12-04 00:30,2.9
108,서울,2024-12-04 00:31,2.9
108,서울,2024-12-04 00:32,2.9
108,서울,2024-12-04 00:33,2.9
108,서울,2024-12-04 00:34,2.9
108,서울,2024-12-04 00:35,2.9
108,서울,2024-12-04 00:36,2.9
108,서울,2024-12-04 00:37,2.9
108,서울,2024-12-04 00:38,2.9
108,서울,2024-12-04 00:39,2.9
108,서울,2024-12-04 00:40,2.9
108,서울,2024-12-04 00:41,2.9
108,서울,2024-12-04 00:42,2.9
108,서울,2024-12-04 00:43,2.9
108,서울,2024-12-04 00:44,2.9
108,서울,2024-12-04 00:45,2.9
108,서울,2024-12-04 00:46,3
108,서울,2024-12-04 00:47,2.9
108,서울,2024-12-04 00:48,3
108,서울,2024-12-04 00:49,3
108,서울,2024-12-04 00:50,3
108,서울,2024-12-04 00:51,3
108,서울,2024-12-04 00:52,2.9
108,서울,2024-12-04 00:53,2.9
108,서울,2024-12-04 00:54,2.9
108,서울,2024-12-04 00:55,2.9
108,서울,2024-12-04 00:56,2.9
108,서울,2024-12-04 00:57,2.9
108,서울,2024-12-04 00:58,2.9
108,서울,2024-12-04 00:59,2.9
108,서울,2024-12-04 01:00,2.9
108,서울,2024-12-04 01:01,2.9
108,서울,2024-12-04 01:02,2.9
108,서울,2024-12-04 01:03,2.9
108,서울,2024-12-04 01:04,2.9
108,서울,2024-12-04 01:05,2.9
108,서울,2024-12-04 01:06,2.9
108,서울,2024-12-04 01:07,2.8
108,서울,2024-12-04 01:08,2.8
108,서울,2024-12-04 01:09,2.8
108,서울,2024-12-04 01:10,2.8
108,서울,2024-12-04 01:11,2.8
108,서울,2024-12-04 01:12,2.8
108,서울,2024-12-04 01:13,2.8
108,서울,2024-12-04 01:14,2.8
108,서울,2024-12-04 01:15,2.8
108,서울,2024-12-04 01:16,2.7
108,서울,2024-12-04 01:17,2.7
108,서울,2024-12-04 01:18,2.7
108,서울,2024-12-04 01:19,2.7
108,서울,2024-12-04 01:20,2.7
108,서울,2024-12-04 01:21,2.7
108,서울,2024-12-04 01:22,2.7
108,서울,2024-12-04 01:23,2.7
108,서울,2024-12-04 01:24,2.7
108,서울,2024-12-04 01:25,2.7
108,서울,2024-12-04 01:26,2.7
108,서울,2024-12-04 01:27,2.7
108,서울,2024-12-04 01:28,2.7
108,서울,2024-12-04 01:29,2.7
108,서울,2024-12-04 01:30,2.7
108,서울,2024-12-04 01:31,2.7
108,서울,2024-12-04 01:32,2.7
108,서울,2024-12-04 01:33,2.7
108,서울,2024-12-04 01:34,2.7
108,서울,2024-12-04 01:35,2.7
108,서울,2024-12-04 01:36,2.7
108,서울,2024-12-04 01:37,2.7
108,서울,2024-12-04 01:38,2.7
108,서울,2024-12-04 01:39,2.7
108,서울,2024-12-04 01:40,2.7
108,서울,2024-12-04 01:41,2.7
108,서울,2024-12-04 01:42,2.7
108,서울,2024-12-04 01:43,2.7
108,서울,2024-12-04 01:44,2.7
108,서울,2024-12-04 01:45,2.7
108,서울,2024-12-04 01:46,2.7
108,서울,2024-12-04 01:47,2.7
108,서울,2024-12-04 01:48,2.7
108,서울,2024-12-04 01:49,2.7
108,서울,2024-12-04 01:50,2.7
108,서울,2024-12-04 01:51,2.7
108,서울,2024-12-04 01:52,2.7
108,서울,2024-12-04 01:53,2.7
108,서울,2024-12-04 01:54,2.7
108,서울,2024-12-04 01:55,2.7
108,서울,2024-12-04 01:56,2.7
108,서울,2024-12-04 01:57,2.7
108,서울,2024-12-04 01:58,2.7
108,서울,2024-12-04 01:59,2.7
108,서울,2024-12-04 02:00,2.7
108,서울,2024-12-04 02:01,2.7
108,서울,2024-12-04 02:02,2.7
108,서울,2024-12-04 02:03,2.7
108,서울,2024-12-04 02:04,2.8
108,서울,2024-12-04 02:05,2.8
108,서울,2024-12-04 02:06,2.7
108,서울,2024-12-04 02:07,2.7
108,서울,2024-12-04 02:08,2.7
108,서울,2024-12-04 02:09,2.7
108,서울,2024-12-04 02:10,2.7
108,서울,2024-12-04 02:11,2.7
108,서울,2024-12-04 02:12,2.7
108,서울,2024-12-04 02:13,2.7
108,서울,2024-12-04 02:14,2.7
108,서울,2024-12-04 02:15,2.7
