,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1,ATR_10_res_scaled,MFI_10_res_scaled,STOCHk_10_3_3_res_scaled
2024-05-20,72905.8203125,75979.58348773058,72713.7101140481,75019.03249547102,99288237,61.73388263665976,3552.724623051859,41.877717306909,-0.0193795574109786,0.067829593794935,0.0018172938403855,-1119.3309697732434,6.7463401172757855,-10.568780165956426,0.1634569269449589,-0.6761909956920459,0.325838780950087,-0.5031328166259136
2024-05-27,70600.484375,75115.07317176872,70600.484375,72329.47582908164,147359198,47.96588785146891,3648.911040423545,24.0436823796352,-0.0316207392992564,0.0620927879226058,0.0019115672186169,-1141.729758068895,-5.392375568571374,-26.04180461888213,-1.5335792141294255,-0.4697026159308099,-0.3994946502811287,-1.1947463034069363
2024-06-03,74250.5859375,75499.30213049806,71272.87809265847,71464.98827619664,74171638,45.34809200154414,3773.901711930997,20.44573525595308,0.0517008005655059,-0.060814327359405,0.0013532305195825,583.0645431323896,-4.024497117400976,-27.04992115693637,-1.6774826930501054,-0.6176222044793027,-0.5690529097923533,-1.370899106561213
2024-06-10,76459.859375,77324.35527245603,72137.37988771984,73097.93088489321,107507071,43.41068815799935,3915.209079211516,26.40003249886076,0.0297542896073526,-0.0534733640130677,0.0012406233413203,1097.182862796165,-5.645389008479711,-19.73803814838632,-1.5182844486581253,-0.6647647378062389,-0.6907319662045942,-1.152799591116053
2024-06-17,76844.078125,79245.45556640625,74922.976171875,76075.63734375,96695948,43.84929332634539,3955.93611074349,48.73683175560066,0.0050251040629774,-0.0538647618376084,0.0011357021005953,1557.2494152287668,-3.981829830099187,5.180879613419613,-0.2530457395724518,-0.6625354241366453,-0.6700306581031871,-0.264289921302739
2024-06-24,78284.890625,78669.1109470859,76363.78901457055,76555.8991756135,73521576,55.16577837208456,3790.874692920676,68.23306857886398,0.0187498182703977,-0.0393723375905727,0.0011797130527698,1106.5289496398375,5.301692760707248,21.57796254474848,1.3177715295696024,-0.8593431083323384,-0.0703346403735344,0.5013904977689709
2024-07-01,84037.125,84037.125,78151.63174512055,78634.0492250287,126877856,67.4902491996661,4000.336549116553,85.29971368742024,0.0734782194760204,0.0522568887116712,0.0010486223047459,723.9239410948385,5.347044875633287,21.491562204707243,1.3625584040681693,-1.08438894643711,0.5503990013149012,1.1316863125197278
2024-07-08,81432.0859375,85677.36055983412,81142.63539506814,84809.0089325385,114207851,69.45358588916207,4053.775410681497,86.91040733241626,-0.0309986694868488,0.1373331025194989,0.0011721927610584,617.6020296831043,6.574696871404441,25.91291396341196,1.683215387890969,-0.8867277893983485,0.6765412568598781,1.219185897542358
2024-07-15,81432.0859375,84905.49244668247,80853.18485263626,81721.53647993188,102837170,59.66405512053389,4053.6286290179687,81.2283191368052,0.0,0.0946003468356408,0.0011798583015973,663.3948007363269,-1.2435408706701878,21.521576739733533,0.8487968434281054,-0.8868225536287815,0.1481157059618117,0.9922948844376768
2024-07-22,78055.15625,81914.49648485785,77283.28820302842,81432.07895550062,86525177,58.33484118210984,4111.386594299115,64.37645447467817,-0.0414692764973726,0.0739819813881388,0.0013810635064745,617.9208434891812,2.6369284331185483,12.436481412189778,0.7286610276622205,-0.6380274273721737,0.1025052913099824,0.3494368280744427
2024-07-29,76800.8828125,83072.31168538002,76704.39929137877,78730.55323492462,93411708,58.31125035861582,4337.039174269328,54.13736810111726,-0.0160690657447758,0.0552399892877976,0.0013508930912418,870.7653225817157,2.614545393310252,1.2930661945651636,0.1657423890838751,-0.4137846898571382,0.1109404535002577,-0.0482571234123158
2024-08-05,72073.171875,74195.80879769077,67731.41453313253,74002.84180471888,179417395,56.767263716256096,4810.282084779143,38.25438428202208,-0.0615580285586316,0.0585504809540003,0.00170614196296,739.4317190232259,4.894719003788921,-8.599451184769734,-0.109551877071353,0.1878560533848595,0.0641924711506286,-0.6404058262511612
2024-08-12,77379.765625,77379.765625,72169.65671758105,72555.59071072319,55863166,56.10464555054773,4859.913251301229,39.694049586351326,0.0736278647372905,0.0286131916946251,0.002053313927993,-747.7178939338883,-0.3373773435818634,-18.332048272396392,-0.8120688723123362,-0.1124670234061059,-0.0126498490797145,-0.6301437993020105
2024-08-19,74967.6875,77283.29174710425,74774.72047940799,77283.29174710425,50205406,53.64029527543474,4634.426440730307,39.42651146024827,-0.0311719492236443,0.0505402558664097,0.0019748048039045,-243.7392352529287,1.5316781522879666,-9.20234350786589,-0.2884068163208968,-0.1069696992808367,-0.1270017038878182,-0.619360961421019
2024-08-26,71687.2421875,75450.09877607672,70915.37416933042,75353.61527380552,69823596,45.31513226437894,4624.456257331906,38.70967419251516,-0.0437581232914513,-0.0103859829645871,0.0020545098830264,5.91859165994174,-0.1570910370215017,-1.292480587528651,-0.0747636213550417,0.0920561518321641,-0.5509907570107252,-0.6187911649204538
2024-09-02,66477.140625,72073.18439314223,65608.78900580552,71880.21736665457,101031606,37.027257286125646,4808.450170332388,22.230847851841585,-0.0726782256300616,-0.0591692103190159,0.0024488138719784,-295.9896556871181,-0.7737554875227133,-7.658757327839485,-0.3913624350371789,0.5371671907383146,-0.9580307652697024,-1.2304394544014166
2024-09-09,62135.37890625,65801.75219574923,61942.4118910132,64547.466596710015,150653622,23.4754126558566,4781.078026697828,9.06098209363361,-0.0653121009407133,-0.1505972542194753,0.0025744698720324,-116.77913483548582,-6.001830871712794,-10.903528968840762,-0.9816324694267656,0.7914310798332023,-1.6559339800801347,-1.7176855449605015
2024-09-16,60784.61328125,62424.8330047123,60012.74517609127,61749.44841269841,82148769,11.462741087295896,4544.179006890148,2.7469019734852247,-0.0217390744013654,-0.2893875746362091,0.0016256151693726,2560.937426545158,-11.452314489085246,-9.43159545670736,-1.6605794253083674,0.723087792476252,-2.293906196782614,-1.9577916671128488
2024-09-23,61942.41015625,63100.21221524533,60012.74005792446,60109.223562840736,150151359,24.41753282535585,4398.508321933221,4.093992929803795,0.019047532138485,-0.2801279795507257,0.001826138736619,1602.8472464559743,-1.2068861438740726,-13.236919301140391,-0.916474533288717,0.5565250254230584,-1.603585962266034,-1.9143047025656503
2024-09-30,58797.07421875,62386.99459184199,58117.90009411097,62289.96971689356,85415277,25.031945551826325,4385.566939513001,4.730210133827884,-0.0507783912438324,-0.2610804474122407,0.0018195020090144,1936.029817723492,2.051256959201588,-6.702273670319738,-0.3861934811729111,0.7451703821537435,-1.5460746795403766,-1.8609085783074135
2024-10-07,57535.73828125,60058.38447907884,57147.63886619941,58408.96196511383,137364502,24.803971592375007,4238.0848068496425,4.336029575751314,-0.0214523588845134,-0.2703895621587004,0.0018034089114067,1697.777858817618,0.7656847941472691,-9.483441141749037,-0.5924473497090583,0.7289546368762821,-1.548617174449484,-1.8654235249294704
2024-10-14,57438.71875,59573.26573057433,57341.69388724663,57729.79333826014,104697889,27.4480180568952,4037.433510497448,2.026198106160317,-0.0016862481328689,-0.2757728552984381,0.0018523095200313,1283.2128589500326,2.826843362644695,-13.318272444409171,-0.5627912764931025,0.6054880247704103,-1.4051441750900335,-1.956793813234096
2024-10-21,54236.90234375,58214.9220147585,54139.877473725406,57244.673314512525,130727449,19.78556814731371,4041.194613551013,1.2587226493093564,-0.05574317247893,-0.2159010748726754,0.0018131274412638,1360.7448091163883,-7.027711878669532,-14.752271690138974,-1.421389538942745,0.8084542495790822,-1.7939694949292702,-1.95894579090826
2024-10-28,56565.49609375,59379.21716873928,54042.84961272513,54042.84961272513,130875210,23.95163660683525,4170.711907797327,4.547336799412153,0.0429337526550008,-0.3452721120888959,0.0012951893021546,2932.0089873955176,0.8879904890433536,-9.791783526223307,-0.7436191079569716,0.7462265469765367,-1.5871150065134862,-1.8483513265854716
2024-11-04,55304.17578125,57632.77265625,54625.001692708334,56856.57369791667,86084137,24.043809080996382,4054.417813371761,6.399629076415707,-0.0222984044974965,-0.2711664102102508,0.0012958047456618,2775.256320436149,-1.6651835253718623,-8.806356710405865,-0.8804415027313196,0.7501452430574548,-1.5723765534826624,-1.7631626836449468
2024-11-11,51908.3046875,55110.125350467286,48415.40941880841,55013.10048189252,215587402,22.642038334539635,4337.852668278743,12.956511099769676,-0.0614035205439462,-0.2497066914162959,0.0013843851300137,2958.56862634245,-2.2449541509349658,0.1135482882410894,-0.5228953018936551,1.1458267755582905,-1.621756872079856,-1.4711193667644935
2024-11-18,54333.92578125,55789.29879324777,53072.60250418527,55304.17445591518,134877926,33.60597504484035,4292.166812025646,22.463046799797127,0.0467289600065499,-0.2384319863301806,0.0016203460130361,1569.44736273126,1.7019262591700937,-3.4476664333588687,-0.2153220302634872,0.96440847313669,-1.048713734176849,-1.1131010486075663
2024-11-25,52587.47265625,57147.64094931965,52199.37322705258,55692.26808982933,125769782,32.792965427425486,4357.776903049788,29.60143882433717,-0.0321429585638864,-0.1263909253829173,0.0014027055562891,1986.04004393866,-5.1298128812685775,-0.5837864894266183,-0.6696125647156849,1.116152092801644,-1.0790806627491836,-0.8125162184112337
2024-12-02,52490.453125,52781.52772643253,50452.93091497228,52684.502859288354,120874387,21.002219944509363,4154.858893890835,32.627029933878845,-0.0018449171703722,-0.1367948095454383,0.0014095328156922,1636.3892068500422,-17.858519279072965,0.1377027616188897,-1.60267080286478,0.991222060200448,-1.71477809220814,-0.6908381708494676
2024-12-09,54430.953125,54819.05261252228,51617.23184046346,51908.306456105165,110963118,29.12244423840353,4059.5550817076346,36.4147100410928,0.0369686273307436,-0.1576872588542957,0.0015521743249158,1069.7558197013868,-9.776026017007716,2.248058910283767,-0.7943590211836189,0.8081541164696077,-1.291479655915276,-0.5568617686418073
2024-12-16,51423.1796875,54916.07491155661,50355.90614681604,54625.00030955189,96348143,30.39158757683813,4109.616450010928,35.92996677965409,-0.0552585112847957,-0.0699402402797195,0.0015896643174313,1077.290185214354,-10.563596758430112,2.585729572525274,-0.8415764738292171,1.0288590089910497,-1.199691692695247,-0.5494508420464989
2024-12-23,52102.3515625,52975.57533170391,51617.22724627561,51811.276972765365,46571598,32.113348499794284,3853.8943694302266,37.4171825346988,0.0132075044586379,-0.1037463926800018,0.0016290644656896,494.3596308248521,-9.936961348771431,0.1104015464601602,-0.840872767452888,0.8212230861892637,-1.1120104344224575,-0.4961091229855421
2024-12-30,53141.421875,53825.22693589154,51090.00669232536,52066.87106502757,48573286,38.92050796858866,3742.026956843822,34.563466695113085,0.0199428678618003,-0.0888526400884949,0.0016999040436504,73.00156516687957,-4.663536793097848,-4.995836362190296,-0.6164197682607999,0.6839203200258909,-0.7526120354789021,-0.6193076544731559
2025-01-06,54020.60546875,56365.08020880425,53043.7409937274,53141.42744122966,103207887,37.03115877711609,3699.958182667125,45.84838333043971,0.0165442241236606,-0.0131665997477645,0.0014596100361425,178.46664071027726,-14.095665777922385,-2.661805580839996,-1.2652251273909625,0.6016946172656389,-0.8614017560314746,-0.1765146890807836
2025-01-13,52457.6171875,53727.54088105214,51969.18499767225,53336.79512918994,90392193,37.05854024754485,3535.104411508188,50.06917066409616,-0.0289331870253501,-0.0395561282791048,0.001316452455906,820.2605693809619,-9.296740324557064,9.378542996436565,-0.3869179022992373,0.5931567698399769,-0.8478256061768845,0.0059347852257075
2025-01-20,52457.6171875,53141.42225325885,51871.4985597067,52359.93074953445,71155922,42.51478941219375,3308.586339712584,46.01568813830224,0.0,-0.0461909108069584,0.0012899777176808,514.5924572117219,-5.1540877355903945,2.6475142601065613,-0.3432421350149918,0.4469136340361533,-0.553304700240681,-0.1559245040387386
2025-01-27,51187.6953125,52457.61905116889,50503.89022244752,52457.61905116889,42186279,31.17655282267991,3173.1005886134626,29.82762319911576,-0.0242085314409326,0.0152126097369877,0.0009902044530132,894.497868334895,-21.628968013668832,-18.6438574249964,-2.708958162765655,0.4389806745853333,-1.1554975964067562,-0.7910273862041398
2025-02-03,52457.6171875,52946.04937732774,49624.71048649907,49917.76980039571,106477524,44.58086061596106,3187.924418834984,28.40705298506606,0.0248091238968104,-0.0557248817104947,0.0008254408957739,1438.6167718127656,-5.425887374989742,-18.1890939193557,-1.467484880278971,0.3690126633040004,-0.4417809878331289,-0.8590535178394136
2025-02-10,54704.40625,55974.32996651786,51676.12661830357,51773.81305803572,125030539,59.282389611092405,3298.9523117729145,43.21276758763384,0.0428305588961326,0.0012272007502022,0.0008966123029322,907.8809300410076,3.1925467507275584,-11.720254084298126,-0.4131797725514222,0.2999715909528948,0.334396525363725,-0.2878426217563287
2025-02-17,56853.51171875,57732.689735019325,54411.35056244631,54802.09634745489,103229672,59.15865235212048,3301.1909978529247,68.84928510840224,0.0392857836520252,0.0459026768167071,0.0010022820506021,397.0966606619663,-0.4111771564122293,9.577774034693576,0.3769509951412421,0.1668129078783581,0.3110824468537743,0.7167215253174016
2025-02-24,53239.10546875,56462.757726490825,53239.10546875,55974.32556622706,89892797,59.35922804927661,3332.5125230676326,69.69905023726722,-0.0635740192774756,0.0482198331379887,0.0013336099095942,256.30253922676275,7.239361974223904,23.09818294602669,1.6445068777811287,0.4134140788684623,0.3498861559170043,0.7828192267888103
2025-03-03,52457.6171875,54118.286632914336,52164.55787360335,52652.9900634311,61665843,58.26571421242395,3194.6341466919685,56.22487221666544,-0.0146788394427234,0.0399043251453088,0.0010461648526923,564.935450181144,2.8033272866631265,4.017997018668595,0.3468197136572245,0.3733445545055161,0.296908789193195,0.2517376157258248
2025-03-10,53434.484375,54606.72169218464,51285.38262682815,52262.24705781535,83613087,59.93781774228468,3207.3046385584207,42.168647523465886,0.0186220274552,0.0120179812439474,0.0010606491622699,500.5084211399908,4.970624342877343,-10.679780328148295,-0.1744088276516623,0.3203410884612053,0.3796053318038662,-0.3182338421512486
