,names,code,change_price
0,보원케미칼,0010F0,-610
1,교보20호스팩,0132G0,-10
2,인벤테라,0007J0,-10000
3,신한제17호스팩,0130D0,-25
4,리센스메디컬,394420,3650
5,엔에이치스팩33호,0130H0,-645
6,메쥬,0088M0,-9250
7,한패스,408470,-11050
8,아이엠바이오로직스,493280,-54900
9,카나프테라퓨틱스,0082N0,-13300
10,액스비스,0011A0,-25400
11,에스팀,458350,-24610
12,케이뱅크,279570,-2080
13,덕양에너젠,0001A0,-18410
14,삼성스팩13호,0115H0,-5180
15,엔비알모션,0004V0,210
16,지에프아이,493330,-2030
17,삼미금속,12210,4790
18,세미파이브,490470,1500
19,리브스메드,491000,11100
20,미래에셋비전스팩10호,0097F0,20
21,미래에셋비전스팩11호,0099W0,19
22,삼진식품,0013V0,-5630
23,엔더블유시,59180,35
24,하나36호스팩,0101C0,18
25,IBKS제25호스팩,0099X0,120
26,알지노믹스,476830,38500
27,나라스페이스테크놀로지,478340,4800
28,아크릴,0007C0,4200
29,메리츠제1호스팩,0088D0,215
30,티엠씨,217590,8850
31,교보19호스팩,0098T0,40
32,쿼드메디슨,464490,-1350
33,키움히어로제1호스팩,466690,53
34,유진스팩12호,0105P0,20
35,이지스,261520,-2410
36,페스카로,0015S0,-1020
37,테라뷰,950250,-2920
38,엔에이치스팩32호,0054V0,61
39,에임드바이오,0009K0,-7150
40,미래에셋비전스팩9호,0096D0,10
41,삼성스팩12호,0096B0,0
42,미래에셋비전스팩8호,0093G0,26
43,아로마티카,0015N0,-210
44,삼성에피스홀딩스,0126Z0,-168000
45,삼양바이오팜,0120G0,23800
46,신영스팩11호,0091W0,40
47,비엔케이제3호스팩,0068Y0,29
48,비츠로넥스텍,488900,-1890
49,씨엠티엑스,388210,24100
50,더핑크퐁컴퍼니,403850,-7410
51,아이엘로보틱스,403810,-880
52,그린광학,0015G0,13520
53,알트,459550,-1175
54,세나테크놀로지,61090,-5550
55,큐리오시스,494120,2000
56,이노테크,469610,-6850
57,노타,486990,-23250
58,삼익제약,14950,-4020
59,명인제약,317450,-4300
60,KB제33호스팩,0072Z0,16
61,삼성스팩11호,0071M0,25
62,에스투더블유,488280,-13860
63,오아,342870,-1380
64,본시스템즈,496320,707700
65,그래피,318060,7900
66,애드포러스,397810,-1380
67,삼성스팩10호,0044K0,55
68,제이피아이헬스케어,0010V0,-2790
69,한라캐스트,125490,-6350
70,에스엔시스,0008Z0,1950
71,삼양컴텍,484590,-1410
72,교보18호스팩,0041B0,15
73,지투지바이오,456160,7600
74,아이티켐,309710,-11550
75,하나35호스팩,0041L0,5
76,대한조선,439260,21200
77,프로티나,468530,-43300
78,엔알비,475230,6710
79,뉴로핏,380550,-2350
80,도우인시스,484120,-7090
81,디비금융제14호스팩,0004Y0,40
82,엘에스스팩1호,0041J0,15
83,아우토크립트,331740,-2590
84,대신밸류리츠,0030R0,-195
85,뉴키즈온,462310,-1385
86,싸이닉솔루션,234030,-2260
87,KB제32호스팩,0037T0,20
88,뉴엔AI,463020,-3370
89,지에프씨생명과학,388610,-5550
90,케이지에이,455180,-330
91,지씨지놈,340450,730
92,링크솔루션,474650,4800
93,키스트론,475430,-425
94,신한제16호스팩,496070,15
95,인투셀,287840,-14500
96,달바글로벌,483650,25800
97,바이오비쥬,489460,-4730
98,이뮨온시아,424870,-4423
99,바이오포트,188040,-2380
100,티씨머티리얼즈,125020,1050
101,로킷헬스케어,376900,29000
102,오가노이드사이언스,476040,-14150
103,원일티엔아이,136150,-1570
104,나우로보틱스,459510,-700
105,에이아이코리아,364950,-1640
106,쎄크,81180,-3450
107,한국피아이엠,448900,36100
108,에이유브랜즈,481070,-4730
109,우양에이치씨,101970,640
110,더즌,462860,-545
111,심플랫폼,444530,-1480
112,티엑스알로보틱스,484810,110
113,한텍,98070,13350
114,한화플러스제5호스팩,498390,30
115,씨케이솔루션,480370,-805
116,서울보증보험,31210,-700
117,에스엠씨지,460870,-710
118,엠디바이스,226590,10140
119,대진첨단소재,393970,-1605
120,에르코스,435570,-5010
121,엘케이켐,489500,-4950
122,위너스,479960,-460
123,모티브링크,463480,-780
124,동국생명과학,303810,-390
125,오름테라퓨틱,475830,-27500
126,동방메디컬,240550,-1530
127,아이에스티이,212710,-1400
128,LG씨엔에스,64400,700
129,아이지넷,462980,340
130,피아이이,452450,-1750
131,삼양엔씨켐,482630,4700
132,데이원컴퍼니,373160,-185
133,아스테라시스,450950,-3290
134,와이즈넛,96250,-1580
135,미트박스,475460,-860
136,유안타제17호스팩,493790,20
137,블랙야크아이앤씨,478560,-320
138,오션스바이오,332190,-2249
139,엠에프씨,432980,-20
140,파인메딕스,387570,-1200
141,쓰리에이로직스,177900,-30
142,GS피앤엘,499790,3150
143,신한제14호스팩,487360,0
144,유비씨,495810,0
145,창대정밀,368030,0
146,듀켐바이오,176750,-400
147,키움제10호스팩,487720,-30
148,에스지헬스케어,398120,1065
149,온코닉테라퓨틱스,476060,1290
150,온코크로스,382150,-1650
151,벡트,457600,-335
152,엠앤씨솔루션,484870,-28500
153,셀로맥스사이언스,471820,-1820
154,KB제31호스팩,492220,45
155,키움제11호스팩,489480,0
156,KB발해인프라,415640,-70
157,디비금융제13호스팩,489730,30
158,교보17호스팩,489210,0
159,대신밸런스제19호스팩,482690,-20
160,위츠,459100,-1000
161,유디엠텍,389680,13
162,RF시스템즈,474610,6600
163,사이냅소프트,466410,-1640
164,하나34호스팩,484130,25
165,에스켐,475660,-110
166,엠오티,413390,1500
167,신한제15호스팩,487830,0
168,쓰리빌리언,394800,-5030
169,닷밀,464580,-520
170,노머스,473980,-10000
171,에어레인,163280,-735
172,토모큐브,475960,2250
173,더본코리아,475560,-3100
174,HEM파마,376270,15800
175,에이럭스,475580,980
176,탑런토탈솔루션,336680,-275
177,성우,458650,3010
178,유진스팩11호,488060,5
179,타조이엔터테인먼트,476710,550
180,클로봇,466100,-18550
181,에이치엔에스하이텍,44990,-240
182,웨이비스,289930,9190
183,씨메스,475400,-3500
184,한켐,457370,500
185,루미르,474170,4110
186,와이제이링크,209640,-295
187,인스피언,465480,-210
188,셀비온,308430,8000
189,제닉스로보틱스,381620,-3900
190,차이커뮤니케이션,351870,-1050
191,한화비전,489790,26450
192,KB제30호스팩,486630,30
193,아이언디바이스,464500,-355
194,미래에셋비전스팩7호,482680,15
195,아이비젼웍스,469750,-196
196,아이스크림미디어,461300,-1650
197,이엔셀,456070,-3220
198,M83,476080,-4540
199,티디에스팜,464280,-1420
200,넥스트바이오메디컬,389650,-15800
201,케이쓰리아이,431190,-1015
202,전진건설로봇,79900,19550
203,유라클,88340,-2070
204,교보16호스팩,482520,0
205,뱅크웨어글로벌,199480,-690
206,아이빔테크놀로지,460470,215
207,피앤에스로보틱스,460940,-4240
208,HS효성,487570,-1300
209,산일전기,62040,15700
210,엔에이치스팩31호,481890,-10
211,SK증권제13호스팩,473950,5
212,엑셀세라퓨틱스,373110,-315
213,이베스트스팩6호,478110,25
214,시프트업,462870,-2900
215,하스,450330,410
216,이노스페이스,462350,2200
217,신한글로벌액티브리츠,481850,-182
218,에이치브이엠,295310,15700
219,팡스카이,266350,0
220,하이젠알앤엠,160190,-21950
221,한국제15호스팩,479880,0
222,에스오에스랩,464080,-850
223,미래에셋비전스팩6호,478440,15
224,에이치엠씨제7호스팩,477340,20
225,파라다이스,34230,-1490
226,한중엔시에스,107640,7250
227,KB제29호스팩,478390,5
228,미래에셋비전스팩5호,477470,-25
229,씨어스테크놀로지,458870,5261
230,디비금융스팩12호,477760,100
231,라메디텍,462510,-1870
232,그리드위즈,453450,5220
233,다원넥스뷰,323350,7960
234,미래에셋비전스팩4호,477380,-20
235,노브랜드,145170,-75
236,아이씨티케이,456010,-2050
237,HD현대마린솔루션,443060,-7100
238,SK증권제12호스팩,473000,10
239,코칩,126730,3640
240,민테크,452200,-25
241,카티스,140430,-38
242,디앤디파마텍,347850,-14900
243,유안타제16호스팩,474490,25
244,제일엠앤에스,412540,0
245,삐아,451250,-1620
246,하나33호스팩,475250,0
247,신한제13호스팩,474930,-15
248,신한제12호스팩,474660,-10
249,아이엠비디엑스,461030,-3520
250,SK이터닉스,475150,38600
251,하나32호스팩,475240,0
252,엔젤로보틱스,455900,-3900
253,제이투케이바이오,420570,-1310
254,삼현,437730,-7850
255,오상헬스케어,36220,-3600
256,케이엔알시스템,199430,-3250
257,하나31호스팩,469900,0
258,SK증권제11호스팩,472230,15
259,유안타제15호스팩,473050,10
260,유진스팩10호,468760,-10
261,에이피알,278470,160000
262,E8,418620,-364
263,코셈,360350,8030
264,케이웨더,68100,-360
265,사피엔반도체,452430,-3500
266,에스피소프트,443670,-950
267,스튜디오삼익,415380,-205
268,신영스팩10호,472220,-5
269,폰드그룹,472850,-70
270,IBKS제24호스팩,469480,-40
271,레이저옵텍,199550,-1052
272,이닉스,452400,-2460
273,엘앤에프,66970,92500
274,포스뱅크,105760,60
275,현대힘스,460930,820
276,HB인베스트먼트,440290,-35
277,드림인사이트,362990,-308
278,대신밸런스제17호스팩,471050,-75
279,우진엔텍,457550,4300
280,세븐브로이맥주,267080,0
281,한빛레이저,452190,-515
282,포스코DX,22100,3150
283,DS단석,17860,750
284,IBKS제23호스팩,467930,-5
285,하나30호스팩,469880,20
286,씨싸이트,109670,-965
287,블루엠텍,439580,-1195
288,LS머트리얼즈,417200,7560
289,케이엔에스,432470,3870
290,교보15호스팩,465320,0
291,와이바이오로직스,338840,3700
292,에이텀,355690,2037
293,엔에이치스팩30호,466910,1370
294,에이에스텍,453860,-2910
295,그린리소스,402490,6540
296,제이엔비,452160,-2050
297,한선엔지니어링,452280,4560
298,동인기연,111380,270
299,에코아이,448280,-530
300,스톰테크,352090,155
301,에코프로머티,450080,23300
302,캡스톤파트너스,452300,1945
303,프로젠,296160,-1770
304,에스와이스틸텍,365330,590
305,에이직랜드,445090,-1950
306,한국제13호스팩,464440,-25
307,메가터치,446540,615
308,비아이매트릭스,413640,-2070
309,컨텍,451760,8490
310,큐로셀,372320,9800
311,쏘닉스,88280,3244
312,KB제27호스팩,464680,20
313,세니젠,188260,-124
314,파라택시스이더리움,290560,151
315,유진테크놀로지,240600,-580
316,유투바이오,221800,14495
317,퀄리타스반도체,432720,-30
318,미쥬,351020,-1970
319,워트,396470,-330
320,에스엘에스바이오,246250,0
321,신성에스티,416180,2750
322,퓨릿,445180,-630
323,바이오텐,289170,-395
324,에이치엠씨제6호스팩,462020,10
325,아이엠티,451220,2220
326,레뷰코퍼레이션,443250,-1640
327,두산로보틱스,454910,9200
328,신한제11호스팩,452980,10
329,한싹,430690,-1315
330,KT밀리의서재,418470,-440
331,인스웨이브,450520,-340
332,우듬지팜,403490,-308
333,코어라인소프트,384470,-1170
334,STX그린로지스,465770,460
335,상상인제4호스팩,452670,15
336,율촌,146060,44
337,한화플러스제4호스팩,455310,15
338,대신밸런스제16호스팩,457630,15
339,크라우드웍스,355390,-1070
340,시큐레터,418250,0
341,스마트레이더시스템,424960,-2120
342,넥스틸,92790,7350
343,캔버스엔,210120,284
344,코츠테크놀로지,448710,2800
345,큐리옥스바이오시스템즈,445680,-45200
346,NICE평가정보,30190,-1310
347,파두,440110,34450
348,엠아이큐브솔루션,373170,272
349,시지트로닉스,429270,2580
350,에피바이오텍,446440,-1130
351,조선내화,462520,370
352,에이엘티,172670,-1860
353,파로스아이바이오,388870,150
354,버넥트,438700,-110
355,뷰티스킨,406820,-2798
356,와이랩,432430,-1355
357,센서뷰,321370,1488
358,아이엠지티,456570,-8530
359,필에너지,378340,3110
360,이노시뮬레이션,274400,-390
361,알멕,354320,49300
362,오픈놀,440320,-490
363,아이티센피엔에스,232830,440
364,엔에이치스팩29호,451700,-150
365,가이아코퍼레이션,296520,73
366,비에이치,90460,7390
367,동국씨엠,460850,340
368,동국제강,460860,2280
369,프로티아,303360,-1065
370,큐라티스,348080,-389
371,마녀공장,439090,-2980
372,나라셀라,405920,275
373,진영,285800,462
374,이수스페셜티케미컬,457190,39800
375,OCI,456040,34400
376,기가비스,420770,53800
377,팸텍,271830,-342
378,모니터랩,434480,-655
379,시선AI,340810,375
380,큐라켐,456190,-200
381,지슨,446840,-467
382,트루엔,417790,-750
383,에스바이오메딕스,304360,-9000
384,슈어소프트테크,298830,-850
385,토마토시스템,393210,-1030
386,마이크로투나노,424980,4260
387,셀바이오휴먼텍,318160,-1470
388,SK오션플랜트,100090,6090
389,삼성FN리츠,448730,1215
390,현대그린푸드,453340,600
391,한화갤러리아,452260,1145
392,지아이이노베이션,358570,-3040
393,LB인베스트먼트,309960,-80
394,한화리츠,451800,1465
395,엑스게이트,356680,-530
396,금양그린파워,282720,4280
397,라온텍,418420,1130
398,자람테크놀로지,389020,9600
399,나노팀,417010,2230
400,바이오인프라,199730,-805
401,이노진,344860,-339
402,화인써키트,127980,-840
403,제이오,418550,1140
404,샌즈랩,411080,-800
405,꿈비,407400,-995
406,스튜디오미르,408900,-910
407,삼기에너지솔루션즈,419050,-124
408,오브젠,417860,-3550
409,미래반도체,254490,40
410,태양3C,52960,-195
411,티이엠씨,425040,5170
